Sun Sep 22 20:36:24 2019    profiling

         871590 function calls (871587 primitive calls) in 14.336 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.TCOD_path_walk}
       65    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_path_size}
       65    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_path_is_empty}
       65    0.643    0.010    3.993    0.061 C:\Users\Adam\Documents\GitHub\MirageRL\entity.py:47(move_astar)
       65    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
       65    0.001    0.000    0.001    0.000 {method 'gc' of 'CompiledFFI' objects}
       63    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\tcod.py:127(__getattr__)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       45    0.008    0.000    0.017    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\map_objects\game_map.py:30(<listcomp>)
       20    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:1118(console_is_window_closed)
       20    0.000    0.000    0.193    0.010 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:1162(console_flush)
       20    0.000    0.000    0.006    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:1732(console_blit)
       20    0.005    0.000    0.005    0.000 {built-in method tcod._libtcod.TCOD_console_blit}
       20    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_console_is_window_closed}
       20    0.193    0.010    0.193    0.010 {built-in method tcod._libtcod.TCOD_console_flush}
       20    0.281    0.014    1.541    0.077 C:\Users\Adam\Documents\GitHub\MirageRL\render_functions.py:4(render_all)
       20    0.000    0.000    0.004    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\render_functions.py:25(clear_all)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
